property_type,sector,balcony,agePossession,luxury_category,floor_category,facing,bedRoom,bathroom,built_up_area,servant room,store room,furnishing_type,price
ind-house,sector 4,0,Old Property,Class D,Low Floor,East,3,3,1130.0,0,0,1,0.85
flat,sector 47,3+,Moderately Old,Class D,Middle Floor,East,3,4,1950.0,1,0,1,2.15
flat,sector 82,2,Relatively New,Class C,High Floor,North-West,3,4,1623.0,1,0,1,0.97
flat,sector 95a,2,New Property,Class C,Middle Floor,North,2,2,670.0,0,0,0,0.41
flat,sector 85,3,Relatively New,Class D,Middle Floor,South,3,3,1587.0,0,0,1,0.93
flat,sector 79,3,New Property,Class D,Middle Floor,North-East,2,2,1700.0,0,0,2,0.83
ind-house,sector 56,0,Moderately Old,Class D,Low Floor,North,2,2,1458.0,0,0,1,2.95
flat,sector 82,3+,Relatively New,Class A,Low Floor,South-East,3,3,1844.0,1,1,0,1.16
flat,sector 77,3+,Relatively New,Class C,Middle Floor,South-West,3,3,1900.0,1,0,1,1.75
flat,sector 54,3+,Moderately Old,Class B,Middle Floor,East,4,6,2720.0,1,1,0,7.0
ind-house,sector 26,3,Old Property,Class D,Low Floor,North,4,4,1350.0,0,1,1,4.0
flat,sector 104,3+,Moderately Old,Class B,Middle Floor,North-East,3,4,2221.0,1,0,1,2.3
flat,sector 49,3,Old Property,Class D,Middle Floor,North-West,3,3,1556.0,1,0,1,1.79
ind-house,sector 50,3+,Moderately Old,Class C,Low Floor,North,4,4,2700.0,1,0,0,11.0
flat,sector 22,3,Relatively New,Class B,Middle Floor,West,3,4,2500.0,1,0,2,4.78
flat,sector 79,3+,Relatively New,Class B,Middle Floor,East,2,2,1494.0,0,0,1,1.45
ind-house,sector 23,3,Relatively New,Class D,Low Floor,North,4,4,2500.0,1,0,0,2.9
flat,sector 59,2,New Property,Class D,Middle Floor,East,4,4,2570.0,1,0,1,6.75
flat,sector 67a,2,New Property,Class D,Middle Floor,North-East,2,2,635.0,0,0,1,0.6
flat,sector 104,3+,Relatively New,Class A,Low Floor,North,3,4,2305.0,1,0,0,2.25
ind-house,sector 48,3+,Moderately Old,Class C,Low Floor,South,6,5,6000.0,0,0,1,3.35
flat,sector 108,2,New Property,Class B,Middle Floor,East,3,4,2003.0,0,0,1,2.9
ind-house,sector 43,3,Relatively New,Class D,Low Floor,West,7,7,963.0,0,0,0,2.5
flat,sector 109,2,Relatively New,Class D,Middle Floor,South-West,1,1,965.0,0,0,1,1.7
flat,sector 67a,2,New Property,Class C,Low Floor,North-East,2,2,1296.0,0,0,1,1.3
ind-house,sector 28,3+,Moderately Old,Class B,Low Floor,North,9,9,3240.0,1,1,0,11.25
flat,sector 70a,3,Relatively New,Class D,High Floor,North-East,3,4,2350.0,1,0,1,2.8
flat,sector 67,3,Relatively New,Class B,High Floor,North-East,3,4,2490.0,1,0,0,3.5
flat,sector 65,3,New Property,Class D,Middle Floor,North-East,2,2,1483.0,0,0,1,2.01
flat,sector 69,1,Relatively New,Class C,Middle Floor,South-West,3,3,1422.0,0,0,0,1.32
ind-house,sector 9,0,Old Property,Class D,Low Floor,South-East,2,3,900.0,0,0,1,1.65
flat,sector 66,3+,Relatively New,Class A,Low Floor,North-East,4,4,2210.0,1,0,0,3.4
flat,sector 89,3,New Property,Class D,Low Floor,North,3,2,1550.0,0,0,1,1.1
ind-house,sector 43,0,Under Construction,Class D,Low Floor,East,1,1,1242.0,0,0,1,3.3
flat,sector 81,2,Relatively New,Class A,Middle Floor,North-West,3,3,1800.0,1,0,2,2.4
ind-house,sector 14,2,Old Property,Class D,Low Floor,West,3,3,4518.0,1,0,0,7.5
ind-house,sector 50,3,Old Property,Class B,Low Floor,West,4,5,2160.0,1,0,0,6.8
ind-house,sector 48,2,Moderately Old,Class B,Low Floor,South,4,5,3222.0,1,1,0,7.35
ind-house,sector 55,3,Old Property,Class D,Low Floor,East,6,4,2700.0,1,0,0,5.6
flat,sector 50,3+,Old Property,Class B,Low Floor,South-East,3,4,2819.0,1,0,0,3.25
flat,sector 77,3,Relatively New,Class B,Middle Floor,South,4,3,1768.0,1,0,1,1.65
flat,sector 50,3,Moderately Old,Class B,Low Floor,South-East,3,3,2400.0,1,0,1,2.75
flat,sector 71,2,Relatively New,Class A,Middle Floor,East,3,4,1580.0,1,0,0,1.25
ind-house,sector 26,3,Relatively New,Class D,Low Floor,North-East,4,4,4235.0,0,1,1,16.0
flat,sector 70a,3,Moderately Old,Class D,Middle Floor,North-East,2,2,1287.0,0,0,1,1.2
flat,sohna road,0,Relatively New,Class D,Low Floor,North-East,1,1,484.0,0,0,1,0.21
flat,sector 68,3,Relatively New,Class D,Low Floor,East,3,2,1405.0,0,0,1,2.22
flat,sector 90,2,Relatively New,Class B,Middle Floor,North-East,4,5,2136.0,1,0,1,1.3
flat,sohna road,2,Relatively New,Class C,Low Floor,North-East,2,2,800.0,0,0,2,0.46
flat,sector 84,1,Relatively New,Class D,Middle Floor,North-East,1,1,387.0,0,0,2,0.27
flat,sohna road,3,Relatively New,Class C,Low Floor,East,2,2,913.0,0,0,1,0.55
flat,sector 82,3+,Relatively New,Class B,Low Floor,North,4,4,1777.0,1,0,1,1.3
flat,sector 37c,3,Under Construction,Class B,Low Floor,North,2,2,756.0,0,0,1,0.4
flat,sector 56,3+,Old Property,Class B,Low Floor,South,3,3,2400.0,1,0,0,1.74
ind-house,sector 40,3,Moderately Old,Class D,Low Floor,North-East,3,3,900.0,0,1,1,2.15
flat,sector 85,2,Relatively New,Class A,Middle Floor,North,3,4,1900.0,1,0,0,1.25
flat,sector 90,3,Moderately Old,Class C,Middle Floor,North,2,2,1224.0,0,0,0,0.65
flat,sector 83,3+,Relatively New,Class A,Middle Floor,East,3,3,1677.0,1,1,0,1.6
flat,sector 28,3+,Moderately Old,Class D,Low Floor,South-West,3,4,1956.0,1,0,2,2.2
ind-house,sector 3,0,Moderately Old,Class D,Low Floor,East,4,1,603.0,0,0,1,0.92
flat,sector 90,3+,Moderately Old,Class C,Middle Floor,North-West,3,3,2144.0,1,0,1,1.2
flat,sohna road,3,Relatively New,Class B,Low Floor,North-East,2,2,1097.0,0,0,1,0.67
flat,sector 85,2,New Property,Class D,Low Floor,North,3,4,1616.0,1,0,1,1.45
flat,sector 72,3+,Relatively New,Class A,Middle Floor,North-East,3,3,2000.0,1,0,0,3.3
flat,sector 86,1,Relatively New,Class D,Middle Floor,North,3,3,1749.0,0,0,0,1.72
flat,sector 36,1,New Property,Class C,Middle Floor,East,1,1,458.0,0,0,1,0.24
flat,sector 71,2,Moderately Old,Class D,Middle Floor,North-East,2,2,1088.0,0,0,1,0.82
flat,sector 22,2,Relatively New,Class D,Middle Floor,East,2,2,1533.0,0,0,1,2.0
ind-house,sector 28,0,Old Property,Class D,Low Floor,North,2,2,864.0,0,0,1,0.7
flat,sector 48,3,Old Property,Class B,Middle Floor,North-West,3,3,1700.0,0,0,0,1.6
flat,sector 83,3,Relatively New,Class D,Low Floor,South-East,2,2,1630.0,0,0,1,1.19
flat,sector 37d,3+,Relatively New,Class A,Middle Floor,North-East,3,3,1675.0,0,0,1,0.98
ind-house,sector 9,1,Old Property,Class D,Low Floor,North-East,4,3,200.0,0,0,1,1.1
flat,sector 109,3+,Relatively New,Class C,Low Floor,North,3,4,1949.0,1,0,1,1.75
flat,sector 37d,3,Relatively New,Class B,Middle Floor,North-East,3,3,1642.0,0,0,1,1.45
flat,sector 36 sohna,3,New Property,Class D,Low Floor,North,3,2,833.0,0,0,1,0.85
flat,sector 69,1,Relatively New,Class A,Middle Floor,North,3,3,1377.0,0,0,1,1.4
flat,sector 86,1,New Property,Class D,Middle Floor,North-West,3,2,1532.0,0,0,1,1.25
flat,sector 83,2,Relatively New,Class D,Middle Floor,South,3,3,1778.0,1,0,0,1.19
flat,sector 65,3,New Property,Class D,Middle Floor,South-East,2,2,1016.0,0,0,1,2.1
flat,sector 95,3,Relatively New,Class D,Middle Floor,North-East,2,2,1250.0,0,0,1,0.6
flat,sector 85,3,Relatively New,Class A,Middle Floor,North,4,6,3890.0,1,0,1,1.91
flat,sector 109,3,Relatively New,Class D,Middle Floor,East,3,4,1860.0,1,1,1,2.22
flat,sector 62,2,New Property,Class A,Middle Floor,North-East,2,2,1200.0,0,0,2,2.45
flat,sector 104,3,Under Construction,Class B,High Floor,East,3,3,1367.0,0,0,0,1.9
flat,sector 63,3+,New Property,Class D,Low Floor,East,3,3,2034.0,0,0,0,3.35
flat,sector 72,3+,Relatively New,Class A,Middle Floor,North,4,5,2634.0,1,0,0,3.85
ind-house,sector 50,2,Moderately Old,Class D,Low Floor,East,5,7,7000.0,1,0,2,10.0
flat,sector 70,3,Moderately Old,Class B,Middle Floor,North-East,3,5,1529.0,1,0,1,1.67
flat,sector 102,3,Relatively New,Class B,Low Floor,East,3,3,1534.0,0,0,1,1.8
flat,sector 37d,3,Relatively New,Class D,High Floor,North-West,4,3,2027.0,1,0,1,1.8
ind-house,sector 25,3,Old Property,Class D,Low Floor,North,5,4,1350.0,0,0,1,4.31
flat,sohna road,2,Under Construction,Class D,Middle Floor,East,2,2,1046.0,0,0,1,0.99
flat,sector 63,2,New Property,Class D,Low Floor,South,1,1,804.0,0,0,1,0.88
flat,sohna road,1,New Property,Class C,Low Floor,East,1,1,474.042156,0,0,1,0.2
flat,sector 77,3,Relatively New,Class D,Middle Floor,East,3,3,1600.0,0,0,1,1.05
flat,sohna road,3+,New Property,Class C,Low Floor,East,3,2,1210.0,0,0,1,0.95
flat,sector 81,2,Relatively New,Class C,Low Floor,South-East,3,3,2130.0,1,0,2,2.5
ind-house,sector 4,1,Moderately Old,Class D,Low Floor,North-East,2,1,75.0,0,0,1,0.55
ind-house,sector 14,3+,Old Property,Class D,Low Floor,North,6,6,3150.0,0,0,1,6.4
flat,sector 113,3,New Property,Class D,Middle Floor,East,3,3,2285.0,0,0,1,3.21
ind-house,sector 7,3+,Old Property,Class D,Low Floor,North-East,5,3,1350.0,1,0,1,2.3
ind-house,sector 5,2,Moderately Old,Class D,Low Floor,North-East,2,4,945.0,0,1,1,0.96
flat,sector 71,2,Relatively New,Class C,Low Floor,North-East,1,1,450.0,0,0,1,0.37
flat,sector 112,3+,Relatively New,Class D,Low Floor,West,3,5,3412.0,1,0,0,4.75
flat,sector 79,3+,Relatively New,Class B,Middle Floor,East,3,4,1963.0,1,0,1,2.0
flat,sector 110,3,Relatively New,Class B,Middle Floor,South,4,4,3083.0,1,0,1,3.25
flat,sector 70a,3+,Relatively New,Class A,High Floor,North-East,3,3,1725.0,0,0,0,2.5
flat,sector 54,3+,Moderately Old,Class C,Middle Floor,East,3,4,1900.0,1,0,0,1.75
flat,sector 110,3,Relatively New,Class B,Low Floor,South-West,5,5,3472.0,1,0,1,3.79
flat,sector-33 sohna,3,Under Construction,Class D,Middle Floor,South-East,3,3,1622.0,0,0,1,1.7
ind-house,sector 109,3+,New Property,Class D,Low Floor,East,4,5,3600.0,1,0,0,10.0
flat,sector 61,3+,Moderately Old,Class A,High Floor,South,3,3,1595.0,1,0,0,2.04
flat,sector 89,2,Under Construction,Class D,Low Floor,North-East,2,2,1226.0,0,0,1,1.01
flat,sector 67,3,Relatively New,Class A,High Floor,North-West,3,4,2018.0,1,0,0,3.4
ind-house,sector 7,0,Old Property,Class D,Low Floor,North,3,2,1000.0,0,0,1,0.45
ind-house,sector 33,3+,Old Property,Class C,Low Floor,West,4,4,7000.0,1,1,1,8.0
flat,sector 104,3+,Relatively New,Class B,Middle Floor,South-East,3,4,2076.0,1,0,1,1.75
flat,sector 54,3,Moderately Old,Class B,Low Floor,North-East,3,3,1900.0,1,0,0,1.55
flat,sector 83,2,Relatively New,Class A,Middle Floor,South,3,3,1591.0,0,1,0,1.1
ind-house,sector 109,2,Relatively New,Class B,Low Floor,East,4,5,2430.0,1,0,0,5.9
ind-house,sector 13,2,Old Property,Class D,Low Floor,East,4,5,4950.0,0,0,1,4.5
flat,sector 107,3+,Relatively New,Class A,Middle Floor,West,2,2,1205.0,0,0,0,0.8
ind-house,sector 7,2,Old Property,Class D,Low Floor,North-West,2,2,1440.0,0,0,1,2.0
flat,sector 81,2,Relatively New,Class D,Low Floor,South-West,1,1,444.0,0,0,1,0.38
ind-house,sector 82,3+,Relatively New,Class B,Low Floor,East,5,5,3240.0,1,0,0,7.5
ind-house,sector 66,3+,New Property,Class A,Low Floor,North-East,5,6,3240.0,1,1,0,11.0
ind-house,sector 69,0,New Property,Class D,Low Floor,East,1,1,763.0,0,0,1,0.8
flat,sector 2,3+,Moderately Old,Class C,Middle Floor,South-West,3,4,1741.0,1,0,0,1.51
ind-house,sector 3,1,Moderately Old,Class D,Low Floor,North-East,2,4,981.0,0,0,1,0.8
flat,sector 79,3,Relatively New,Class A,Middle Floor,North-West,2,2,1413.0,0,0,1,1.33
flat,sector 89,0,New Property,Class D,Low Floor,South-East,2,2,1103.0,0,0,1,0.88
flat,sohna road,2,New Property,Class C,Low Floor,North-East,2,1,913.0,0,0,1,0.65
flat,sector 69,1,Relatively New,Class C,Middle Floor,North-East,4,4,1786.0,0,0,1,1.72
flat,sector 90,2,Relatively New,Class D,Middle Floor,North,3,3,1650.0,0,0,1,1.26
flat,sohna road,2,Relatively New,Class B,Middle Floor,South,2,2,1106.0,0,0,2,0.9
flat,sector 90,2,Relatively New,Class D,Middle Floor,East,3,3,1581.0,0,0,1,1.25
flat,sector 92,2,Relatively New,Class D,Middle Floor,West,3,3,1596.0,0,0,1,0.71
flat,sector 71,1,Moderately Old,Class C,Middle Floor,East,1,1,869.0,0,0,1,1.0
flat,sector 54,3+,Moderately Old,Class B,Low Floor,North,3,3,2250.0,0,0,0,1.59
flat,sector 85,3+,Relatively New,Class A,High Floor,East,2,2,1427.0,0,1,1,1.25
ind-house,sector 12,2,Old Property,Class D,Low Floor,South-West,5,5,1350.0,0,0,1,1.5
ind-house,sector 82,3+,Relatively New,Class D,Low Floor,East,4,4,3240.0,1,1,1,5.0
ind-house,sector 31,3+,Moderately Old,Class C,Low Floor,North-East,5,5,1620.0,0,1,0,4.25
flat,sector 102,3,Relatively New,Class D,High Floor,South-East,3,4,1713.0,1,0,1,1.8
flat,sohna road,3+,New Property,Class C,Low Floor,East,2,2,1175.97,0,0,1,0.95
flat,sector-33 sohna,3+,Under Construction,Class B,High Floor,East,3,2,1333.0,0,0,1,1.39
flat,sector 52,3+,Relatively New,Class C,Middle Floor,North-East,3,3,2556.0,0,0,0,1.4
flat,sector 102,3,Moderately Old,Class D,Middle Floor,East,2,2,1368.0,0,0,1,1.6
flat,sector 70a,2,New Property,Class D,High Floor,East,2,2,1402.0,0,0,1,1.25
flat,sector 111,1,Under Construction,Class C,Low Floor,North,2,2,1340.0,0,0,1,0.96
ind-house,sector 2,3+,Old Property,Class D,Low Floor,South,6,4,1557.0,0,0,0,3.0
flat,sector 82,2,Relatively New,Class B,Middle Floor,East,2,2,1203.0,0,0,0,0.89
ind-house,sector 33,0,Relatively New,Class D,Low Floor,West,3,2,900.0,0,0,1,0.85
flat,sector 90,3+,Moderately Old,Class B,High Floor,South-East,4,4,2143.0,1,0,0,1.65
flat,sector 67,3+,Relatively New,Class C,High Floor,North,3,4,2490.0,1,0,0,3.65
flat,sector 49,3,Moderately Old,Class B,Middle Floor,South-East,3,4,1750.75,1,0,0,1.98
flat,sector 107,3,Relatively New,Class B,Middle Floor,North-East,2,2,1391.0,0,0,1,1.02
flat,sector 74,3+,Relatively New,Class B,High Floor,South,2,2,1200.0,0,0,1,1.54
flat,sector 85,3,Relatively New,Class D,Middle Floor,East,2,2,1485.0,0,0,1,1.12
flat,sector 84,3,Relatively New,Class B,Middle Floor,North-East,3,3,1610.0,0,0,1,1.05
flat,sector 65,3,Under Construction,Class D,Middle Floor,South,2,2,1592.0,0,0,1,2.25
flat,sector 68,2,New Property,Class D,Low Floor,East,2,2,1311.0,0,0,1,0.9
ind-house,sector 24,3+,Moderately Old,Class D,Low Floor,North-East,7,7,3000.0,0,0,0,2.75
flat,sector 1,0,Moderately Old,Class D,Middle Floor,East,3,3,2200.0,0,0,1,0.85
flat,sector 66,2,Relatively New,Class C,Middle Floor,North,2,2,1074.0,0,0,1,1.7
flat,sector 52,3,Moderately Old,Class D,Low Floor,East,4,4,2100.0,0,0,1,1.55
flat,sector 104,3+,Relatively New,Class A,Middle Floor,North-East,4,4,2856.0,1,0,1,2.65
flat,gwal pahari,3+,New Property,Class A,Middle Floor,East,4,5,5258.0,1,0,1,5.5
flat,sector 84,1,Relatively New,Class C,Middle Floor,West,2,2,532.0,0,1,2,0.36
flat,sector 68,3,New Property,Class B,Middle Floor,East,2,2,1245.0,0,0,1,1.1
flat,sector 84,2,Relatively New,Class C,Middle Floor,North,2,2,1088.0,0,0,1,0.6
flat,sector 108,3+,Relatively New,Class D,Middle Floor,East,3,4,4600.0,0,0,1,2.15
flat,sector 102,2,Relatively New,Class B,Middle Floor,North,2,2,1102.0,0,0,1,1.26
flat,sector 70,2,Relatively New,Class C,Middle Floor,South-West,2,2,1500.0,0,0,1,1.15
flat,sector 89 a,1,Relatively New,Class C,Low Floor,East,2,2,672.0,0,0,2,0.5
flat,gwal pahari,2,Relatively New,Class A,Low Floor,East,3,3,1296.0,0,0,0,1.38
flat,sector 85,3,Relatively New,Class B,Low Floor,South,2,2,1487.0,0,0,1,1.14
ind-house,sector 31,3+,Moderately Old,Class D,Low Floor,North,4,4,1449.0,1,1,0,3.25
ind-house,sector 105,1,Relatively New,Class D,Low Floor,East,3,2,720.0,0,0,1,0.65
flat,sector 85,3+,Relatively New,Class B,Middle Floor,West,2,2,1515.0,0,1,1,1.05
flat,sector 25,3,Old Property,Class D,High Floor,North-West,4,4,2333.0,1,0,0,3.7
ind-house,sector 7,3+,Old Property,Class D,Low Floor,East,3,2,4320.0,0,0,1,6.5
ind-house,sector 105,2,Moderately Old,Class D,Low Floor,South-East,3,2,1200.0,0,0,1,0.7
flat,sector 85,2,New Property,Class C,High Floor,South,2,2,1487.0,0,0,1,1.3
flat,sector 72,3+,New Property,Class B,High Floor,South-West,4,5,2634.0,1,0,1,4.1
flat,sector 66,3,Relatively New,Class D,Middle Floor,North-East,4,4,2506.0,1,0,1,2.7
flat,sector 72,3+,Relatively New,Class A,High Floor,North-East,3,4,2140.0,1,0,0,3.21
flat,sector 86,3,Relatively New,Class D,Middle Floor,South,3,3,1900.0,0,0,1,1.55
flat,sector 90,3+,Moderately Old,Class B,Middle Floor,South-West,4,4,2200.0,1,0,0,1.54
flat,sector 81,3+,Relatively New,Class D,High Floor,East,3,4,1904.0,1,0,2,2.2
ind-house,sector 23,3+,Moderately Old,Class C,Low Floor,West,7,7,5000.0,1,0,1,5.65
flat,sector 107,3+,Relatively New,Class B,Middle Floor,North-East,2,2,1238.0,0,0,1,0.82
flat,sector 69,2,Relatively New,Class B,Middle Floor,West,3,3,1431.0,0,0,1,1.4
ind-house,sector 25,3+,Moderately Old,Class C,Low Floor,North-East,4,4,1800.0,1,1,1,6.5
ind-house,sector 26,3+,Moderately Old,Class C,Low Floor,North-East,7,9,9000.0,1,1,2,31.5
ind-house,sector 63,2,New Property,Class D,Low Floor,West,3,3,2385.0,0,0,1,1.5
flat,sector 90,3,Relatively New,Class A,Low Floor,East,3,4,1768.0,1,0,1,0.9
ind-house,sector 4,1,Moderately Old,Class D,Low Floor,North-East,2,3,675.0,0,0,1,0.8
flat,sector 1a imt manesar,3+,Moderately Old,Class D,Middle Floor,South-East,4,4,2946.0,0,0,0,1.25
ind-house,sector 109,3+,Relatively New,Class A,Low Floor,North-East,4,4,2430.0,1,1,1,6.0
flat,sector 90,3,New Property,Class C,Middle Floor,North-East,2,2,1226.0,0,0,1,0.7
ind-house,sector 26,3+,Relatively New,Class B,Low Floor,North-East,5,5,4518.0,1,1,0,17.0
flat,sohna road,3+,New Property,Class B,Low Floor,East,3,2,1201.0,0,0,1,0.75
ind-house,sector 12,1,Old Property,Class D,Low Floor,North-East,2,2,166.0,0,0,1,1.4
flat,sector-11 sohna,2,Relatively New,Class D,High Floor,South-East,2,2,846.0,0,0,1,0.3
ind-house,sector 27,3+,Relatively New,Class D,Low Floor,East,5,5,1350.0,1,0,0,4.25
flat,sector 71,2,Relatively New,Class D,Middle Floor,South-East,2,2,1086.0,0,0,1,0.79
flat,sector 71,3+,Relatively New,Class D,Low Floor,North,3,3,1346.0,0,0,0,1.0
flat,sector 102,3,Relatively New,Class B,Low Floor,North-East,3,3,2355.0,1,1,1,2.6
flat,sector 85,3,Relatively New,Class D,Middle Floor,North,4,4,2600.0,1,0,1,2.17
flat,sector 95,1,Relatively New,Class C,Middle Floor,North,2,2,610.0,0,0,0,0.31
flat,sector 111,3+,Relatively New,Class A,Middle Floor,North-East,4,5,2999.0,1,0,2,3.9
flat,sector 81,2,Relatively New,Class A,Middle Floor,North-East,2,2,1260.0,0,0,0,0.95
flat,sector 91,3+,Relatively New,Class D,Low Floor,North,3,3,2578.0,0,0,2,1.8
ind-house,sector 4,2,New Property,Class D,Low Floor,West,2,2,450.0,1,0,1,0.5
flat,sector 79,3,Relatively New,Class C,Middle Floor,South-East,2,2,1450.0,0,0,1,0.9
flat,sector 83,3+,Relatively New,Class C,Middle Floor,South,3,3,1723.0,0,0,1,1.8
ind-house,sector 24,1,Old Property,Class D,Low Floor,North-East,3,3,540.0,0,0,1,1.45
flat,sector 15,3,Old Property,Class C,Low Floor,East,4,3,1444.0,0,0,0,1.4
flat,sector 65,3,Relatively New,Class A,Low Floor,South-West,3,4,1833.0,1,1,2,2.3
ind-house,sector 11,3,Relatively New,Class D,Low Floor,South,2,5,800.0,0,0,1,0.9
flat,sector 84,3,Relatively New,Class C,Low Floor,East,3,3,1655.0,0,0,1,0.92
flat,sector 90,3+,Relatively New,Class C,High Floor,South-East,3,3,1700.0,1,0,1,1.25
flat,sector 90,3,Relatively New,Class B,Low Floor,North-East,3,4,1495.0,1,0,1,0.92
flat,sector 67,3,Relatively New,Class D,Middle Floor,East,3,4,2100.0,1,0,0,3.39
flat,sector 85,1,Relatively New,Class C,Low Floor,South,3,3,1346.0,0,0,1,0.88
flat,sector 63a,2,Under Construction,Class D,Low Floor,West,3,2,630.0,0,0,1,0.42
flat,sector 70a,3+,New Property,Class C,Middle Floor,South,2,2,1315.0,0,0,1,1.1
flat,sector 37d,2,Under Construction,Class D,Middle Floor,South-West,2,3,656.0,0,0,1,0.45
flat,manesar,3,Relatively New,Class D,Low Floor,East,3,4,2717.0,1,0,1,0.75
flat,sector 102,3,Relatively New,Class D,Middle Floor,North,2,2,1368.0,0,0,1,1.42
flat,sector 90,3,Relatively New,Class A,Middle Floor,East,4,4,2861.0,0,0,1,1.25
flat,sector 108,3,Relatively New,Class C,Middle Floor,East,2,3,1163.0,1,0,1,0.9
flat,sector 69,2,Relatively New,Class B,Middle Floor,North-East,4,4,1822.0,0,0,0,1.75
flat,sector 37c,3,Relatively New,Class D,Middle Floor,North,4,5,2345.0,1,0,1,1.4
flat,sector 81,3,Relatively New,Class D,High Floor,North,3,3,2343.0,1,0,0,2.7
flat,sector 81,3+,Relatively New,Class A,Middle Floor,East,3,4,2484.0,1,0,0,2.2
flat,sector 70a,3+,New Property,Class B,High Floor,East,2,2,1182.0,0,0,0,1.34
ind-house,a block sushant lok phase 1,3+,Relatively New,Class D,Low Floor,West,9,9,2700.0,1,0,2,7.85
flat,sector 22,3+,New Property,Class B,Low Floor,North-East,3,3,2071.0,0,0,2,4.1
flat,sector 58,3,Old Property,Class D,Middle Floor,North-West,3,4,2164.0,1,0,0,4.0
ind-house,sector 3,3,Moderately Old,Class D,Low Floor,North-East,3,4,3500.0,0,0,0,0.9
ind-house,sohna road,3+,New Property,Class D,Low Floor,West,3,10,1065.0,0,0,1,0.95
ind-house,sector 5,3+,Relatively New,Class D,Low Floor,East,5,5,3400.0,0,0,1,3.75
flat,sector 83,0,Relatively New,Class D,Middle Floor,South,1,1,700.0,0,0,1,0.65
flat,sohna road,1,New Property,Class D,Low Floor,North-East,2,2,615.0,0,0,1,0.4
flat,sector 43,3,Old Property,Class B,Middle Floor,North,4,4,2570.0,1,0,1,5.25
flat,sector 60,3,Relatively New,Class A,High Floor,South,4,5,2539.0,1,0,1,3.75
flat,sector 85,3,Moderately Old,Class C,Middle Floor,East,3,4,1468.0,1,0,2,1.1
flat,sector 63,0,New Property,Class C,Middle Floor,South-East,4,4,3950.0,0,0,1,7.8
flat,sector 81,3+,Relatively New,Class B,High Floor,North,4,4,6279.0,1,0,0,4.7
flat,sector 89,3,Under Construction,Class B,Low Floor,East,3,3,1064.0,0,1,1,1.2
ind-house,sector 2,3+,Relatively New,Class C,Low Floor,West,6,5,2430.0,1,0,1,4.95
flat,sector 107,2,Relatively New,Class D,Middle Floor,North-West,2,2,608.0,0,0,1,0.35
ind-house,sector 12a,3+,Relatively New,Class C,Low Floor,South-East,8,8,4800.0,1,0,2,3.5
flat,sector 85,3+,Relatively New,Class A,Middle Floor,South,4,5,2368.0,1,0,1,2.15
flat,sector 81,3+,New Property,Class A,Middle Floor,East,3,3,1933.0,1,0,2,2.25
flat,sohna road,0,Relatively New,Class D,Low Floor,East,2,1,476.0,0,0,1,0.32
flat,sector 70,2,New Property,Class D,Low Floor,West,2,2,1027.0,0,0,1,1.1
flat,sector 82,2,Relatively New,Class B,High Floor,West,2,2,1179.0,0,0,0,0.81
flat,sector-33 sohna,2,Under Construction,Class D,High Floor,North,2,2,103.0,0,0,1,1.15
flat,sector 39,3+,Old Property,Class D,Low Floor,South-East,3,3,2400.0,0,0,1,2.0
flat,sector 95,1,Relatively New,Class C,Middle Floor,South-West,1,1,407.0,0,0,1,0.2
flat,sector 63,3,New Property,Class D,Low Floor,East,3,3,2000.0,0,0,1,3.0
ind-house,sector 23,2,Moderately Old,Class D,Low Floor,North-East,3,3,2000.0,0,1,1,2.4
flat,sector 81,2,Under Construction,Class D,Low Floor,West,2,2,1194.0,0,0,1,0.96
flat,sector 85,2,Relatively New,Class D,Middle Floor,South,2,2,1515.0,0,0,1,1.06
flat,sector 69,3+,Relatively New,Class A,Middle Floor,East,4,5,2176.0,1,0,0,1.92
ind-house,sector 28,1,Old Property,Class D,Low Floor,North-East,2,2,1450.0,0,1,1,1.39
flat,sector 78,2,Moderately Old,Class C,Low Floor,North-West,3,3,1900.0,1,0,1,0.9
flat,sector 67,3,Relatively New,Class A,High Floor,North,3,4,2138.0,1,0,0,3.4
flat,sector 71,3,Moderately Old,Class C,Low Floor,South-East,3,4,1634.0,1,0,1,1.12
flat,sector 37d,3+,Relatively New,Class B,Middle Floor,North,4,3,2000.0,0,0,0,1.6
flat,sector 70a,3,New Property,Class B,Middle Floor,East,2,2,1400.0,0,0,1,1.18
flat,sector 92,2,New Property,Class D,High Floor,North,3,2,1177.0,0,0,1,0.79
ind-house,sector 25,3,Relatively New,Class C,Low Floor,East,2,9,1961.0,0,1,0,7.6
flat,sector 83,2,Relatively New,Class A,Low Floor,South-East,3,3,1200.0,1,1,0,1.12
ind-house,sector 72,3+,Relatively New,Class D,Middle Floor,East,5,5,3653.0,1,0,0,3.09
flat,sector 56,3,Moderately Old,Class B,Low Floor,North,3,3,1741.0,0,0,0,1.39
ind-house,sector 109,3+,Relatively New,Class C,Low Floor,East,4,4,5400.0,1,0,1,5.7
flat,sector 104,0,Relatively New,Class D,High Floor,East,2,2,1259.0,0,0,1,0.9
flat,sector 89,3,Under Construction,Class D,Low Floor,North,3,3,1290.0,0,0,1,1.25
flat,sector 111,2,Relatively New,Class B,Middle Floor,East,3,4,2200.0,1,0,1,2.58
flat,sector 7,1,New Property,Class D,Low Floor,North-East,3,2,889.0,0,0,1,0.48
flat,sector 106,3+,Relatively New,Class A,Low Floor,East,2,2,940.0,0,0,1,0.92
